"zOTUID","Domain","Phylum","Class","Order","Family","Genus","Species"
"1ea9a92c113eb117ea4c44059b453813","Bacteria","Verrucomicrobiota","Omnitrophia","Omnitrophales","Omnitrophaceae","Candidatus_Omnitrophus","uncultured_bacterium"
"94eec6672227ba28bc8b3f58235d029b","Bacteria","Myxococcota","Polyangia","VHS-B4-70","VHS-B4-70","VHS-B4-70","Unclassified"
"8b7e5ab7bd770401f062045120096427","Bacteria","Verrucomicrobiota","Omnitrophia","Omnitrophales","Omnitrophaceae","Candidatus_Omnitrophus","uncultured_bacterium"
"d27f08c223d66fb458bb2df6708aacd0","Bacteria","Proteobacteria","Gammaproteobacteria","Coxiellales","Coxiellaceae","Coxiella","uncultured_bacterium"
"86e3ae43539241a1e78704eb5cbab065","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Nitrosomonadaceae","Ellin6067","uncultured_bacterium"
"c4b9aaed5a3064c4cbdb6ebb12390f25","Bacteria","Latescibacterota","Latescibacterota","Latescibacterota","Latescibacterota","Latescibacterota","Unclassified"
"c0cd9056766161f8a567bbb1445d9efe","Bacteria","Bdellovibrionota","Oligoflexia","Oligoflexia","Oligoflexia","Oligoflexia","Deltaproteobacteria_bacterium"
"c3d4e6b5c7ae7067d9e9a7923bc547d4","Bacteria","Proteobacteria","Gammaproteobacteria","Diplorickettsiales","Diplorickettsiaceae","Aquicella","uncultured_bacterium"
"08d0d539a8c7eb76495a92d110ae1cc1","Bacteria","Patescibacteria","Parcubacteria","Parcubacteria","Parcubacteria","Parcubacteria","uncultured_bacterium"
"ae3938b2dcb171f848bb3e67363216e5","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Intrasporangiaceae","Oryzihumus","uncultured_bacterium"
"b8fb1e4fe0d4756a73982688bfb30b30","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Unclassified","Unclassified"
"14a96ee3f0259d5919bf5f49c85ccc07","Bacteria","Patescibacteria","Parcubacteria","Candidatus_Moranbacteria","Candidatus_Moranbacteria","Candidatus_Moranbacteria","uncultured_bacterium"
"ebcf5489ecd45b5ab5861c688631ca48","Bacteria","Elusimicrobiota","Endomicrobia","Endomicrobiales","Endomicrobiaceae","Endomicrobium","uncultured_bacterium"
"4aa794659edc1691d272b0a8cc63fcc7","Bacteria","Patescibacteria","ABY1","Candidatus_Magasanikbacteria","Candidatus_Magasanikbacteria","Candidatus_Magasanikbacteria","uncultured_bacterium"
