"","sample1","sample2","V.select","H.select","Disp.limit","Disp.homo","Undomin"
"395","X14P10NHN1","X11P1NHN1",0.00408333333333333,0.41285,0,0.00546666666666667,0.5776
"396","X14P16NHN1","X11P1NHN1",8e-04,0.3656,5e-04,0.000983333333333333,0.632116666666667
"397","X14P19NNN1","X11P1NHN1",0.00491666666666667,0.372216666666667,0.0013,0.00336666666666667,0.6182
"398","X14P1NHN1","X11P1NHN1",0.0015,0.356366666666667,0.000533333333333333,0.00195,0.63965
"399","X14P20NHN1","X11P1NHN1",0.000683333333333333,0.363233333333333,0.000916666666666667,0.00495,0.630216666666667
"400","X14P23NNN1","X11P1NHN1",0.00406666666666667,0.3606,0.0133333333333333,0.00143333333333333,0.620566666666667
"401","X14P3NNN1","X11P1NHN1",0.00778333333333333,0.3817,0.0228166666666667,0.00118333333333333,0.586516666666667
"402","X14P6NNN1","X11P1NHN1",0.00295,0.305733333333333,0.0179666666666667,0.00181666666666667,0.671533333333333
"403","X11P23NNN1","X11P20NHN1",0.00226666666666667,0.3808,0.00555,0.00365,0.607733333333333
"404","X11P3NNN1","X11P20NHN1",0.00376666666666667,0.4656,0.00146666666666667,0.001,0.528166666666667
"405","X11P6NNN1","X11P20NHN1",0.00288333333333333,0.381283333333333,0.00136666666666667,0.03945,0.575016666666667
"406","X12P10NHN1","X11P20NHN1",0.00263333333333333,0.433316666666667,0.00273333333333333,0.00341666666666667,0.5579
"407","X12P16NHN1","X11P20NHN1",2e-04,0.449133333333333,5e-05,0.03315,0.517466666666667
"408","X12P19NNN1","X11P20NHN1",0.00431666666666667,0.43895,0.01995,0.00568333333333333,0.5311
"409","X12P1NHN1","X11P20NHN1",0.01285,0.461666666666667,0.00303333333333333,0.006,0.51645
"410","X12P20NHN1","X11P20NHN1",0.00233333333333333,0.45875,0.0281666666666667,0.00218333333333333,0.508566666666667
"411","X12P23NNN1","X11P20NHN1",0.00336666666666667,0.3876,0.000416666666666667,0.00473333333333333,0.603883333333333
"412","X12P3NNN1","X11P20NHN1",0.00458333333333333,0.477716666666667,0.0266666666666667,0.00603333333333333,0.485
"413","X12P6NNN1","X11P20NHN1",0.0112666666666667,0.395783333333333,0.00471666666666667,0.00448333333333333,0.58375
"414","X13P10NHN1","X11P20NHN1",0.0139,0.452733333333333,0.00976666666666667,0.000316666666666667,0.523283333333333
"415","X13P16NHN1","X11P20NHN1",0.00148333333333333,0.426133333333333,5e-04,0.0213833333333333,0.5505
"416","X13P19NNN1","X11P20NHN1",0.00815,0.41035,0.0499833333333333,0.0129,0.518616666666667
"417","X13P1NHN1","X11P20NHN1",0.00263333333333333,0.353466666666667,0.0649,0.000733333333333333,0.578266666666667
"418","X13P20NHN1","X11P20NHN1",0.00305,0.4213,0.000566666666666667,0.03915,0.535933333333333
"419","X13P23NNN1","X11P20NHN1",0.00606666666666667,0.35945,0.0229833333333333,0.00965,0.60185
"420","X13P3NNN1","X11P20NHN1",0.0151,0.359283333333333,0.0418333333333333,0.0293166666666667,0.554466666666667
"421","X13P6NNN1","X11P20NHN1",0.00386666666666667,0.424883333333333,0.0236666666666667,0.00671666666666667,0.540866666666667
"422","X14P10NHN1","X11P20NHN1",0.0018,0.4399,0.000183333333333333,0.000866666666666667,0.55725
"423","X14P16NHN1","X11P20NHN1",0.00126666666666667,0.413316666666667,0.000133333333333333,0.00095,0.584333333333333
"424","X14P19NNN1","X11P20NHN1",0.00688333333333333,0.413433333333333,0.0374666666666667,0.00075,0.541466666666667
"425","X14P1NHN1","X11P20NHN1",0.00095,0.397533333333333,0.000133333333333333,0.01995,0.581433333333333
"426","X14P20NHN1","X11P20NHN1",0.000966666666666667,0.415733333333333,5e-04,0.0225666666666667,0.560233333333333
"427","X14P23NNN1","X11P20NHN1",0.0037,0.4197,0.0455666666666667,0.001,0.530033333333333
"428","X14P3NNN1","X11P20NHN1",0.0164666666666667,0.422716666666667,0.0465333333333333,0.00445,0.509833333333333
"429","X14P6NNN1","X11P20NHN1",0.0193833333333333,0.358683333333333,0.0469,0.00223333333333333,0.5728
"430","X11P3NNN1","X11P23NNN1",0.00393333333333333,0.356916666666667,0.00171666666666667,0.0083,0.629133333333333
"431","X11P6NNN1","X11P23NNN1",0.00283333333333333,0.310916666666667,0.00463333333333333,0.0045,0.677116666666667
"432","X12P10NHN1","X11P23NNN1",0.00235,0.372233333333333,0.0132666666666667,0.00488333333333333,0.607266666666667
"433","X12P16NHN1","X11P23NNN1",0.00143333333333333,0.411766666666667,0.0179833333333333,0.00373333333333333,0.565083333333333
"434","X12P19NNN1","X11P23NNN1",0.00425,0.380583333333333,0.0128666666666667,0.00055,0.60175
"435","X12P1NHN1","X11P23NNN1",0.0032,0.406516666666667,0.00981666666666667,0.00366666666666667,0.5768
"436","X12P20NHN1","X11P23NNN1",0.00255,0.388083333333333,0.0423166666666667,2e-04,0.56685
"437","X12P23NNN1","X11P23NNN1",0.00246666666666667,0.32,0.0130333333333333,0.002,0.6625
"438","X12P3NNN1","X11P23NNN1",0.00313333333333333,0.3759,0.00258333333333333,0.00573333333333333,0.61265
"439","X12P6NNN1","X11P23NNN1",0.0102,0.36305,0.00133333333333333,0.00095,0.624466666666667
"440","X13P10NHN1","X11P23NNN1",0.00225,0.35605,0.0197833333333333,0.00173333333333333,0.620183333333333
"441","X13P16NHN1","X11P23NNN1",0.001,0.370133333333333,0.0600666666666667,0.00085,0.56795
"442","X13P19NNN1","X11P23NNN1",0.00255,0.340283333333333,0.0364333333333333,0.00105,0.619683333333333
